Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M02;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M01;-1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M12;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M11;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M10;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M09;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M08;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M07;-0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M06;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M05;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M04;1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M03;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M02;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M01;-1,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M12;-0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M11;-0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M10;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M09;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M08;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M07;-0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M06;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M05;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M04;1,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M03;0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M02;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M01;-0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M12;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M11;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M10;1,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M09;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M08;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M07;-0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M06;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M05;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M04;1,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M03;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M02;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M01;-0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M12;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M11;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M10;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M09;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M08;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M07;-0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M06;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M05;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M04;1,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M03;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M02;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M01;-0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M12;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M11;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M10;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M09;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M08;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M07;-0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M06;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M05;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M04;1,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M03;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M02;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M01;-0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M12;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M11;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M10;1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M09;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M08;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M07;-0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M06;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M05;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M04;1,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M03;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M02;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M01;-0,7
