Date;Close;High;Low;Open;Volume
2020-02-21 05:00:00;542,82;544,53;541,3;542,56;6520500
2020-02-24 05:00:00;528,8;531,23;524,84;527,27;9294900
2020-02-25 05:00:00;527,36;527,81;503,17;504,52;20062000
2020-02-26 05:00:00;507,22;513,96;502,0;502,81;14303600
2020-02-27 05:00:00;494,54;500,29;479,25;479,25;20697200
2020-02-28 05:00:00;464,06;474,85;459,92;474,04;30741700
2020-03-02 05:00:00;478,53;494,45;473,23;494,36;16817300
2020-03-03 05:00:00;495,98;504,79;483,48;490,04;28390200
2020-03-04 05:00:00;498,68;510,63;491,75;510,37;14079800
2020-03-05 05:00:00;495,62;501,19;491,12;494,18;14177300
2020-03-06 05:00:00;481,32;485,37;471,97;481,32;18941100
2020-03-09 04:00:00;446,7;463,34;434,84;436,27;14245000
2020-03-10 04:00:00;452,64;454,62;431,96;453,99;16718000
2020-03-11 04:00:00;441,04;442,3;426,38;432,41;14954800
2020-03-12 04:00:00;400,76;418,2;380,98;390,78;15365800
2020-03-13 04:00:00;416,04;418,47;388,44;418,2;12114000
2020-03-16 04:00:00;338,89;388,71;338,89;372,16;14427100
2020-03-17 04:00:00;377,92;399,23;367,13;395,18;11044900
2020-03-18 04:00:00;369,56;384,75;345,46;369,92;9875900
2020-03-19 04:00:00;363,53;385,29;355,8;379,36;8986900
2020-03-20 04:00:00;382,59;383,13;359,85;365,78;15248700
2020-03-23 04:00:00;363,52;366,05;345,41;347,13;18677400
2020-03-24 04:00:00;369,04;390,49;365,96;387,96;11879300
2020-03-25 04:00:00;386,51;413,03;382,53;397,01;13576400
2020-03-26 04:00:00;401,71;417,65;400,9;415,65;13383900
2020-03-27 04:00:00;400,18;409,23;397,1;400,63;14075600
2020-03-30 04:00:00;405,61;415,02;402,26;413,39;9754200
2020-03-31 04:00:00;412,12;417,92;406,06;407,69;8508700
2020-04-01 04:00:00;392,75;400,45;388,23;389,31;10240400
2020-04-02 04:00:00;388,86;404,88;388,05;395,2;11784600
2020-04-03 04:00:00;392,48;400,54;383,97;385,69;9265800
2020-04-06 04:00:00;402,26;417,46;402,26;414,39;10466700
2020-04-07 04:00:00;429,68;440,18;423,35;425,43;11211300
2020-04-08 04:00:00;429,96;448,24;425,16;446,25;16463600
2020-04-09 04:00:00;451,14;467,97;450,68;465,44;30738000
2020-04-13 04:00:00;461,82;463,09;448,87;455,21;15857300
2020-04-14 04:00:00;464,71;467,7;456,39;461,09;8262000
2020-04-15 04:00:00;446,43;446,88;436,38;439,91;5700600
2020-04-16 04:00:00;440,73;441,63;430,14;437,38;4627900
2020-04-17 04:00:00;447,7;456,39;447,61;454,94;6304600
2020-04-20 04:00:00;446,97;454,21;442,45;443,71;4843200
2020-04-21 04:00:00;432,4;437,65;430,77;432,76;5987700
2020-04-22 04:00:00;441,63;444,62;436,93;441,27;3832600
2020-04-23 04:00:00;443,81;453,4;443,81;444,35;6383600
2020-04-24 04:00:00;447,97;452,59;443,08;451,32;4145700
2020-04-27 04:00:00;452,68;465,08;452,04;463,36;4861100
2020-04-28 04:00:00;470,96;474,76;466,16;471,96;6751900
2020-04-29 04:00:00;481,73;486,44;479,74;484,0;5876300
2020-04-30 04:00:00;476,39;476,39;468,88;469,6;5406800
2020-05-01 04:00:00;461,46;463,45;455,48;459,74;5067000
2020-05-04 04:00:00;456,21;462,0;451,68;461,37;5070500
2020-05-05 04:00:00;465,44;468,79;461,55;462,54;4517000
2020-05-06 04:00:00;463,81;467,34;454,12;454,58;3753200
2020-05-07 04:00:00;459,1;468,06;458,47;463,9;4122900
2020-05-08 04:00:00;470,6;475,67;469,15;475,03;3783500
2020-05-11 04:00:00;467,16;469,96;463,0;467,79;4428600
2020-05-12 04:00:00;469,33;472,32;460,64;460,64;4200000
2020-05-13 04:00:00;458,38;460,28;446,79;450,96;5266100
2020-05-14 04:00:00;442,63;456,48;437,38;456,48;5421000
2020-05-15 04:00:00;453,58;460,82;451,32;460,46;4880600
2020-05-18 04:00:00;476,3;485,26;475,12;481,46;4425700
2020-05-19 04:00:00;479,65;483,54;476,39;476,84;4892900
2020-05-20 04:00:00;483,18;489,7;483,09;484,45;3799300
2020-05-21 04:00:00;483,0;485,62;478,02;479,83;5245700
2020-05-22 04:00:00;479,29;480,01;475,4;479,11;3732600
2020-05-26 04:00:00;489,97;494,86;488,25;492,23;4114400
2020-05-27 04:00:00;497,84;500,47;490,87;497,21;6991700
2020-05-28 04:00:00;504,18;505,9;496,94;501,83;5484700
2020-05-29 04:00:00;501,92;503,64;495,94;501,92;7386300
2020-06-01 04:00:00;502,1;507,17;501,37;505,36;3233400
2020-06-02 04:00:00;506,99;515,22;506,44;514,5;4327700
2020-06-03 04:00:00;520,93;529,98;520,29;526,18;4724100
2020-06-04 04:00:00;524,0;529,53;523,19;528,08;4503700
2020-06-05 04:00:00;541,93;545,73;539,84;541,56;5630000
2020-06-08 04:00:00;543,65;545,37;537,49;542,29;5256500
2020-06-09 04:00:00;536,04;539,21;532,51;535,68;6008900
2020-06-10 04:00:00;537,94;537,94;527,44;529,62;5192400
2020-06-11 04:00:00;514,59;516,13;486,62;488,7;29098400
2020-06-12 04:00:00;505,63;507,71;488,79;498,21;13931900
2020-06-15 04:00:00;485,08;506,44;482,37;503,46;6885700
2020-06-16 04:00:00;520,84;523,1;506,08;513,96;9502400
2020-06-17 04:00:00;517,21;517,76;508,25;509,7;4025400
2020-06-18 04:00:00;507,8;512,96;506,9;510,06;3567600
2020-06-19 04:00:00;518,57;519,48;504,9;508,53;7418500
