Date,Variacion_IPC,IPC_suma
1975-05-01,1.2,114.89999999999999
1975-06-01,0.3,115.19999999999999
1975-07-01,1.6,116.79999999999998
1975-08-01,1.6,118.39999999999998
1975-09-01,1.6,119.99999999999997
1975-10-01,0.0,119.99999999999997
1975-11-01,0.7,120.69999999999997
1975-12-01,1.6,122.29999999999997
1976-01-01,1.2,123.49999999999997
1976-02-01,1.1,124.59999999999997
1976-03-01,2.3,126.89999999999996
1976-04-01,2.0,128.89999999999998
1976-05-01,4.6,133.49999999999997
1976-06-01,-0.6,132.89999999999998
1976-07-01,0.6,133.49999999999997
1976-08-01,0.8,134.29999999999998
1976-09-01,1.9,136.2
1976-10-01,1.4,137.6
1976-11-01,1.9,139.5
1976-12-01,1.0,140.5
1977-01-01,3.3,143.8
1977-02-01,1.5,145.3
1977-03-01,2.4,147.70000000000002
1977-04-01,1.8,149.50000000000003
1977-05-01,0.9,150.40000000000003
1977-06-01,2.8,153.20000000000005
1977-07-01,3.3,156.50000000000006
1977-08-01,3.2,159.70000000000005
1977-09-01,1.4,161.10000000000005
1977-10-01,1.6,162.70000000000005
1977-11-01,0.8,163.50000000000006
1977-12-01,0.8,164.30000000000007
1978-01-01,1.6,165.90000000000006
1978-02-01,1.0,166.90000000000006
1978-03-01,1.3,168.20000000000007
1978-04-01,2.1,170.30000000000007
1978-05-01,1.0,171.30000000000007
1978-06-01,1.0,172.30000000000007
1978-07-01,2.2,174.50000000000006
1978-08-01,1.7,176.20000000000005
1978-09-01,0.8,177.00000000000006
1978-10-01,0.9,177.90000000000006
1978-11-01,0.4,178.30000000000007
1978-12-01,1.4,179.70000000000007
1979-01-01,1.7,181.40000000000006
1979-02-01,0.8,182.20000000000007
1979-03-01,1.0,183.20000000000007
1979-04-01,1.5,184.70000000000007
1979-05-01,1.2,185.90000000000006
1979-06-01,0.9,186.80000000000007
1979-07-01,2.2,189.00000000000006
1979-08-01,1.0,190.00000000000006
1979-09-01,1.3,191.30000000000007
1979-10-01,1.3,192.60000000000008
1979-11-01,0.2,192.80000000000007
1979-12-01,1.5,194.30000000000007
1980-01-01,2.8,197.10000000000008
1980-02-01,0.9,198.00000000000009
1980-03-01,0.5,198.50000000000009
1980-04-01,1.0,199.50000000000009
1980-05-01,0.7,200.20000000000007
1980-06-01,1.6,201.80000000000007
1980-07-01,1.4,203.20000000000007
1980-08-01,1.2,204.40000000000006
1980-09-01,1.1,205.50000000000006
1980-10-01,0.8,206.30000000000007
1980-11-01,1.0,207.30000000000007
1980-12-01,1.4,208.70000000000007
1981-01-01,2.0,210.70000000000007
1981-02-01,0.5,211.20000000000007
1981-03-01,2.0,213.20000000000007
1981-04-01,1.0,214.20000000000007
1981-05-01,0.5,214.70000000000007
1981-06-01,0.1,214.80000000000007
1981-07-01,2.0,216.80000000000007
1981-08-01,1.2,218.00000000000006
1981-09-01,0.8,218.80000000000007
1981-10-01,1.1,219.90000000000006
1981-11-01,0.9,220.80000000000007
1981-12-01,1.5,222.30000000000007
1982-01-01,2.1,224.40000000000006
1982-02-01,0.8,225.20000000000007
1982-03-01,1.0,226.20000000000007
1982-04-01,1.3,227.50000000000009
1982-05-01,1.4,228.9000000000001
1982-06-01,1.0,229.9000000000001
1982-07-01,1.3,231.2000000000001
1982-08-01,0.7,231.9000000000001
1982-09-01,0.1,232.00000000000009
1982-10-01,1.0,233.00000000000009
1982-11-01,0.3,233.3000000000001
1982-12-01,2.2,235.50000000000009
1983-01-01,1.7,237.20000000000007
1983-02-01,0.5,237.70000000000007
1983-03-01,0.6,238.30000000000007
1983-04-01,1.4,239.70000000000007
1983-05-01,0.4,240.10000000000008
1983-06-01,0.6,240.70000000000007
1983-07-01,0.4,241.10000000000008
1983-08-01,1.3,242.4000000000001
1983-09-01,0.8,243.2000000000001
1983-10-01,1.4,244.6000000000001
1983-11-01,1.0,245.6000000000001
1983-12-01,1.6,247.2000000000001
1984-01-01,1.5,248.7000000000001
1984-02-01,0.4,249.1000000000001
1984-03-01,0.8,249.90000000000012
1984-04-01,0.5,250.40000000000012
1984-05-01,0.5,250.90000000000012
1984-06-01,0.7,251.6000000000001
1984-07-01,1.5,253.1000000000001
1984-08-01,0.7,253.8000000000001
1984-09-01,0.2,254.00000000000009
1984-10-01,0.6,254.60000000000008
1984-11-01,0.5,255.10000000000008
1984-12-01,0.7,255.80000000000007
1985-01-01,1.9,257.70000000000005
1985-02-01,0.7,258.40000000000003
1985-03-01,0.6,259.00000000000006
1985-04-01,1.0,260.00000000000006
1985-05-01,0.3,260.30000000000007
1985-06-01,-0.2,260.1000000000001
1985-07-01,0.6,260.7000000000001
1985-08-01,0.1,260.8000000000001
1985-09-01,1.1,261.90000000000015
1985-10-01,0.5,262.40000000000015
1985-11-01,0.8,263.20000000000016
1985-12-01,0.4,263.60000000000014
1986-01-01,2.9,266.5000000000001
1986-02-01,0.4,266.9000000000001
1986-03-01,0.3,267.2000000000001
1986-04-01,0.2,267.4000000000001
1986-05-01,0.3,267.7000000000001
1986-06-01,0.9,268.6000000000001
1986-07-01,1.0,269.6000000000001
1986-08-01,0.3,269.9000000000001
1986-09-01,1.0,270.9000000000001
1986-10-01,0.4,271.30000000000007
1986-11-01,-0.2,271.1000000000001
1986-12-01,0.4,271.50000000000006
1987-01-01,0.8,272.30000000000007
1987-02-01,0.4,272.70000000000005
1987-03-01,0.6,273.30000000000007
1987-04-01,0.2,273.50000000000006
1987-05-01,-0.1,273.40000000000003
1987-06-01,0.0,273.40000000000003
1987-07-01,1.0,274.40000000000003
1987-08-01,0.0,274.40000000000003
1987-09-01,0.9,275.3
